px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	2.12402e-314
8.44826	0.251508	-0.00450989	1.68864e-17	1.30104e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	6.94506e-05
8.47155	0.248812	-0.00761764	6.8854e-06	7.77638e-07	8.56759	0.241943	8.45	0.25	0	0	0.126096
8.46429	0.251006	-0.0106885	-8.48932e-06	-9.91308e-07	8.45582	0.253997	8.45	0.25	0	0	0.00652349
8.37385	0.251347	-0.951114	0.000334749	9.68172e-05	8.42544	0.254042	8.35	0.25	-1.81979	0	18.7182
8.30706	0.250702	-0.97142	0.000997545	0.000206722	8.23962	0.24916	8.25	0.25	-1.81978	0	0.306731
8.10202	0.243116	-1.20689	0.0400429	0.00915592	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	15.1018
7.99716	0.219633	-1.25171	0.112014	0.0219886	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.78523
7.82002	0.202546	-1.3832	0.0692483	0.0091227	7.61269	0.155818	7.7	0.15	-2.99982	0	6.67285
7.70922	0.185755	-1.43244	0.118733	0.0189768	7.54016	0.159641	7.55	0.15	-2.99982	0	1.86453
7.59802	0.161861	-1.48625	0.153809	0.0232968	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.28383
7.49025	0.0999963	-1.53461	0.393313	0.073038	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1.75169
7.32364	0.0878216	-1.64003	-0.0939561	-0.0587623	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	4.28657
7.20609	0.0149728	-1.69704	0.285573	0.0330251	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	1.90466
7.08755	-0.0348253	-1.77023	0.318328	0.0299203	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	2.33145
6.97941	-0.163442	-1.83393	0.699884	0.134783	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	1.82104
6.85472	-0.162497	-1.92651	0.256642	-0.115703	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	2.83047
6.74182	-0.291329	-2.02739	0.474622	-0.0579781	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	2.64256
6.69786	-0.453888	-1.95692	0.854185	0.300273	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	3.86766
6.6241	-0.566875	-2.01563	0.931235	0.320035	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.680233
6.58656	-0.740359	-2.08517	1.19248	0.692338	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	2.16895
6.53335	-0.898278	-2.17436	1.26923	0.655903	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	1.71256
6.43363	-0.972223	-2.12346	1.01979	-0.0892534	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	5.36228
6.35048	-1.11097	-2.20615	1.01548	-0.152863	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	1.60766
6.45142	-1.30933	-2.20442	1.61137	1.43455	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	36.9712
6.44273	-1.47898	-2.30118	1.68959	1.37929	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	2.13987
6.38613	-1.57326	-2.17364	1.5012	0.718687	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	9.07676
6.35135	-1.73731	-2.27929	1.50746	0.617835	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	3.18189
6.41352	-1.89637	-2.40933	1.75814	1.10718	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	10.3601
6.41667	-2.06043	-2.4945	1.78552	1.03517	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	2.06563
6.4022	-2.2099	-2.4749	1.73828	0.814807	6.32593	-2.40018	6.35	-2.4	0	-2.72613	3.15557
6.4046	-2.38893	-2.55259	1.74916	0.747048	6.34927	-2.55175	6.35	-2.55	0	-2.72611	1.70282
6.45648	-2.55124	-2.63781	1.84581	0.85319	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	2.35336
6.47834	-2.72505	-2.69492	1.86364	0.805831	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.933598
6.48385	-2.86641	-2.6723	1.84257	0.699393	6.46536	-3.00452	6.45	-3	0	-2.99754	1.70831
6.49738	-3.03145	-2.72796	1.84487	0.653001	6.44119	-3.14955	6.45	-3.15	0	-2.99754	1.01667
6.55383	-3.19365	-2.79368	1.90384	0.695533	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	1.30146
6.58674	-3.36708	-2.83543	1.91653	0.662811	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0.59536
6.67058	-3.52913	-2.92709	1.99296	0.729943	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	2.61713
6.73855	-3.69108	-2.95176	2.02646	0.720248	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.246714
6.79547	-3.83679	-2.91475	2.04415	0.686554	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	0.81209
